e-Invoice JSON File Format for CRM/POS,,,,,,,,,,
"(as of February 8, 2022  version 2.0)",,,,,,,,,,
,,,,,,,,,,
No,Item Name,,Definition,,Field Name,Data Type,"Length
 (maximum)",Occurs,Default,Description
23,Sales Information,Sales Summary,VATable Sales,,VATSales,Number,30,"1..1
 (Mandatory)",0,Sales subject to VAT at 12%
24,,,Other taxable revenue,,OtherTaxRev,Number,30,"1..1
 (Mandatory)",0,"Other taxable revenues not part of the primary revenue-generating items (e.g. miscellaneous income, taxable service charge)."
25,,,VAT Exempt Sales,,ExemptSales,Number,30,"1..1
 (Mandatory)",0,Sales amount exempt from VAT.
26,,,Zero Rated Sales,,ZeroSales,Number,30,"1..1
 (Mandatory)",0,Sales amount subject to VAT at zero percent (0%) .
27,,,Total Sales Amount,,TotSalesAmt,Number,30,"1..1
 (Mandatory)",0,"Sum of all sales, exclusive of ( VAT + other taxable revenue )."
,,"Discount
 Information",Discount,,Discount,,,"1..1
 (Mandatory)",,Discount based on the Total Sales Amount
28,,,,Senior Citizen Discount Amount,ScAmt,Number,30,"1..1
 (Mandatory)",0,Applicable to transactions with Senior Citizen (SC)
29,,,,PWD Discount Amount,PwdAmt,Number,30,"1..1
 (Mandatory)",0,Applicable to transactions with Person With Disability (PWD)
30,,,,Regular Discount Amount,RegAmt,Number,30,"1..1
 (Mandatory)",0,Granted based on the Total Sales Amount that can be deducted for both VAT and Income tax purposes (outright discounts)
31,,,,Special Discount Amount,SpeAmt,Number,30,"1..1
 (Mandatory)",0,Granted based on the Total Sales Amount that can be deducted for income tax purposes only (ex. Conditional discounts)
32,,,,Remarks2,Rmk2,String,500,"0..1
 (Optional)",,"Brief explanation of discount, If needed"
33,,Total Net Sales after discount,Total Net Sales After Discounts,,TotNetSalesAftDisct,Number,30,"1..1
 (Mandatory)",0,Total Sales Amount + Other Taxable Revenue - Discounts(SC/PWD/Regular/Special)
34,,Tax Information,VAT Amount,,VATAmt,Number,30,"1..1
 (Mandatory)",0,VAT Amount reflected in the document
35,,,Withholding Tax-Income Tax,,WithholdIncome,Number,30,"1..1
 (Mandatory)",0,Amount withheld by buyer for purposes of income tax.
36,,,Withholding Tax-Business VAT,,WithholdBusVAT,Number,30,"1..1
 (Mandatory)",0,Amount Withheld by buyer for purposes of VAT
37,,,Withholding Tax-Business Percentage,,WithholdBusPT,Number,30,"1..1
 (Mandatory)",0,Amount Withheld by buyer on transactions subject to percentage tax
38,,Non-Taxable,Other Non-Taxable Charges,,OtherNonTaxCharge,Number,30,"1..1
 (Mandatory)",0,"Any non-taxable charges of seller to buyer (e.g. local tax, documentary stamp tax, non-taxable service charge, etc.)"
39,,Net Amount Payable,Net Amount Payable,,NetAmtPay,Number,30,"1..1
 (Mandatory)",0,Amount to be paid by the buyer.
40,PTU Information,CRM/POS,Permit To Use (PTU) Number,,PtuNum,String,50,"1..1
 (Mandatory)",,Number issued by the BIR allowing/registering taxpayer's use of POS/CRM
41,,,Machine Identification Number(MIN),,Min,String,50,"1..1
 (Mandatory)",,Unique number generated by the eAccReg system for every POS/CRM.
42,,,Machine Serial Number (MSN),,Msn,String,50,"1..1
 (Mandatory)",,MSN of machine that generated sales data
,,,,,,,,,,
,,,,,,,,,,
Note:,,,,,,,,,,
"If the field is not applicable/ or no value/nil
  - String fields place a null (without quotation mark) or """"(blank) 
  - Number fields place 0.00 value",,,,,,,,,,
